organization_name,startup_uuid,name_from_col_e,linkedin_name,experience,education,profile_image,linkedin_url
WeKanCode,01c04deb-18a8-3fde-142b-dbd80d56ead1,Sathya Nellore Sampat,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/sathyanarayanaa/
DroneBase,04e76176-e151-ee6c-df29-926ce7c8e247,Daniel Burton,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/daniel-burton-28711789
Vertify,07d62a0f-65e8-4f52-a5d6-1cd35ca610df,Matt Klepac,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/matthew-klepac-mirabella-9206b825/
Fullbridge,0a1b0ccf-a7d7-108b-e64c-a08e2b0d8a0e,Peter Olson,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/pub/peter-olson/b/537/732
GoFormz,0d89990e-dadb-ab09-bcea-6f5142de7725,Jeff Fildey,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/pub/jeffrey-fildey/0/267/67a
Turvo,0ea1155b-ea47-8bd0-e96f-94a7f20fa705,Jeff Dangelo,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/jeff-dangelo-8a7107a/
TreeHouse,14ff884d-e458-8404-0eb5-2aa3a8524b99,Alan Johnson,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/alan-johnson-246239155/
Pana,194ea37b-6b6e-b54a-82bf-765ef186bc41,Lianne Haug Espeland,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/lianne-espeland-19189956
Clover Health,218bda65-0c8c-3bb9-30b5-0c001d41a6f0,Kris Gale,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/kgale/
Call9,2250c61a-04b8-7e16-680f-72e2c97a888d,Celina Tenev,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/celina-tenev-5781745b
Socure,294b7d8a-e8ec-ef88-da4c-9d8764415e46,Johnny Ayers,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/in/johnayers1
Atlas,2beb8fa0-f13a-c796-6a16-3a2efc072d5b,Peter Li,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/petercli89
NeighborSchools,2c73f15d-79bd-4320-85d9-f3abb48edf86,Cedric McDougal,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/cedric-mcdougal-he-him-2b99021a
Opus Bank,2e25001f-efc8-ef4e-5dbb-6c5f040c3f2a,Stephen Gordon,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/stephen-h-gordon-7740ab167
LumiraDx,36481767-e428-9601-0b87-14d274c82eda,Sumit Nagpal,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/sumitkn
Shipwell,366d26c4-7589-58f3-451f-eb8b760c4964,David Chou,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/david-chou-51921a37/
leadPops,36ba4672-9a2a-9961-dadc-6ce50cbfd385,Robert Shuey,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/shuey-robert-86167651
Panorama Education,3dd712f8-0f6d-2a6e-a007-4f503cc823b0,David Carel,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/pub/david-carel/76/abb/270
WanderJaunt,3fe1f92a-3969-59d0-148c-9d73ad9af3fb,Barrett Glasauer,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/barrett-glasauer-91a8844a/
IndraStra Global,41079401-21eb-247a-40bc-330f77eb6331,Amrita Jash,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://in.linkedin.com/in/amrita-jash-27358270
Distractify,41307c5b-b3e6-6cb1-2ebb-353fa64cd079,Quinn Hu,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/pub/quinn-hu/61/417/641
Stryde,4168ae05-1743-b7d7-03d9-947d420f0cce,Kirk Green,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/in/kirkgreen01
Freight Farms,4447ccfe-311d-3487-06c5-427bfb7b2df5,Brad McNamara,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/in/carfreebrad
The Daily Caller,4a5be90d-fb3b-9fa5-9a4d-626ba24cf7e5,khiladi poswal,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/khiladi-gurjar-732aaa178
Clickdaily,4be266d6-35c2-0237-891a-ebf66ad1f9a3,Michael LaMonica,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/mike-la-monica-34562b27/
Shape Security,4dd0c258-edc0-795c-905a-024aba9668ec,Justin Call,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/in/jstnc
Buoy Health,502542b2-2779-f701-7e1c-521ca5711b8b,Eddie Reyes,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/eddie-reyes/
Bellabeat,5a690501-7235-c64c-f7f6-46633f697ad5,Sandro Mur,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://hr.linkedin.com/in/sandromur
Engage PEO,5b2fab72-0d83-417f-abd4-e6fff0db9ea2,Midge Seltzer,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/midge-seltzer-049b79ab/
YAC,5c0b8319-5334-45b8-baa2-dad7b289180e,Hunter McKinley,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://linkedin.com/in/huntermckinley
Blavity,5df7b3c7-d0f4-2ff1-b7ad-74c67706cd2f,Jeff Nelson,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/jtnelson1
Walinns Innovation,5f87cad3-f70e-4f46-ba1c-2047bf289dd4,Shiva Kumar,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/in/kumarshiv89
Aki Technologies,5fcf9aa8-7707-6e5f-ca80-2e84325f86c0,Scott Swanson,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/in/scottswanson77
F50,644a9de4-9318-bcb2-9591-6f20a6af36e8,Martin Stroka,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/martinstroka/
Workgeni.us,6586b979-e619-cf7f-9a6d-59b6beb70bae,Bjorn Wanbo,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/in/bwanbo
The Flex Company,66c83332-9f60-7a3f-d209-42487feed121,Erika Jensen,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/erika-jensen-06598260/
Sosh,6777f600-d244-0bb9-84c9-ecf043dfa2d0,Rod Begbie,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/in/cluefulsoftwareengineer
Ship Sticks,684722a3-5ba2-4204-2453-1748b126c7bf,Jonathan Marsico,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/jonathanmarsico
Metric Theory,6cac9e1d-34ed-4948-95d9-94e3fa9ba65c,Ken Baker,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/ken-baker-758bbab/
Cresco Labs,70c12ec5-2e02-4c9e-3d9a-1b971689851a,Joe Caltabiano,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/crescojoe/
Phobio,73b861b1-ebf4-4f4d-a3d8-597d30ea5eab,Andrew Yeaton,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/xeeton/
Startup Grind,76520fb3-88fd-3780-c330-346ee795fa74,Casper Sermsuksan,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/in/casperisto
Almabase,7fb0f6f1-685b-cc63-f666-f123aa18b7ec,Srihari Maneru,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://in.linkedin.com/in/sriharimaneru/en
Plume Design,80c72b90-17e6-bc73-579d-4e12d9768bed,Sri Nathan,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/nathansri1
Givelify,81ef8e23-84bd-382e-0552-0f03e2a24da2,Tayo Ademuyiwa,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/tayo-ademuyiwa-md-345923187
Pavilion,8403a15c-8030-429b-6fa0-160cb606c1ab,Brendan Duhamel,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/pub/brendan-duhamel/98/3b6/4ba
Pinterest,8f83e283-e00b-8101-d79b-bf2dd6914d6e,Evan Sharp,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/evsharp
Fity Social Media,9d6e090e-1f1a-f3b2-6627-ed12ac96b71c,Matthew Pattoli,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/matthewpattoli
"ROBOTERRA, Inc",9e880aa5-4488-2755-fbb3-e9dd75222b59,Chen Bai,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/bcmsbond/
AcadGild,a4a51c28-fd19-2a99-38c1-ce188ae9bd16,Vinod K. Dham,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/vinod-dham-b07a7935
Onerent,a5092351-7e9b-1988-6283-3fea389ce2a2,Evan Huang,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/pub/evan-huang/44/6a1/99a
Pave,a58bea81-faa3-5a29-b99c-ed112a9dde41,Matt Schulman,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/matthew-schulman-15911861/
White Ops,a731e22b-7f9d-1bd1-97f1-51f6b105c441,Dan Kaminsky,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/pub/dan-kaminsky/0/614/532
AdmitSee,aa3a7eb2-7e83-4ca5-c975-643d8fbc0070,Lydia Fayal,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/lydiafayal
M8,ab42d91e-e6ec-b79e-90ca-03401311b3d2,Stephen Liu,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/in/stephenchristopherliu
GCR,b1722a89-20ff-0906-21e6-adb5243351c5,Vladimir Hruda,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/vladimir-hruda-1939502/
Qwick,bcbfa05c-d216-4a0e-b34a-1902e77ca06e,Chris Loeffler,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/chrisloefflerii
Kloudless,c62134ad-7944-a775-14d5-b0f76c28eebc,Eliot Sun,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/in/suneliot
Mosaic451,cc2288e3-50c6-02b2-5753-fb346ca09598,Catherine Baker,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/catherine-baker-b1860365
Wish,cf4b5303-318a-312c-5944-65f05ad834e6,Peter Szulczewski,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/peter-szulczewski-b711221
ScriptDrop,d4c0e9ff-0e0e-f9da-f1c3-1618fc995a8f,Larry Scott,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/lscott3/
Webscale,d6dcbb68-659a-2a38-a18e-894e83026749,Jay Smith,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/james-smith-81b9766/
Rozzy Learning Company,d7041aa5-6f0d-571d-17c0-999426779b43,Jessica Gordon,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/jessica-gordon-43b03359/
Sonatype,d81374d0-93ef-0bca-f0b6-df1574670866,Jason van Zyl,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/jasonv2
Dandelion Energy,db47fba5-1c8a-46ea-881b-2be8e7e359ef,Kathy Hannun,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/cooperkathy/
EverString,dc9bba83-4dae-4497-ee33-d8ed6c18937c,Vincent Yang,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/vincentyangeverstring/
Ascent Resources,e6e975a4-5980-45ed-b674-978a7e525ec3,Jennifer M. Grigsby,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/jennifer-m-grigsby-cpa-cgma-mba-22320196/
Securly,e7fa5e5b-61fe-5cff-3203-b0041ccfd5f4,Vinay Mahadik,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/mahadikvinay/
Alley,e8435cd1-3223-4b73-6abc-1298a6a5b724,Jonathan Kogan,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://linkedin.com/in/rpatools
Venmo,e8499ac5-4fc5-a3fb-2106-dce0d7d3c98c,Iqram Magdon-Ismail,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/iqram-magdon-ismail-803511184/
Go Nimbly,ee3e26d4-c4fd-3011-6094-1273e4f6c79c,Jason Reichl,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/jasonreichl/
Go Nimbly,ee3e26d4-c4fd-3011-6094-1273e4f6c79c,Jennifer Igartua,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/jennifer-igartua-a3aba016/
Revolutionary Security,f02ec91b-1969-4a7e-a9cb-031b947a918d,Rick Cline,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/richardcline
Figma,fecdc239-2d5b-8552-fb0e-a6a874e95678,Evan Wallace,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/evan-wallace-781838118/
Accountable Healthcare Staffing,ff26f317-7978-0ee7-e453-ab73e9c8f795,Robert Adamson,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/robert-s-adamson-90420b135
Accountingprose,c36ace75-a317-94c2-746c-289fd6f4bd36,Cristina Garza,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/cristina-tina-garza-small-business-superhero-b5622124
305 Fitness,bd29feb2-1ff8-2276-be5c-3f6d89484de9,Sadie Kurzban,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/sadie-kurzban-we-re-hiring-73a56a18/
BRÅÃµVO Pay,1cba4133-cfd0-1d53-77b4-21cb49a28bf3,Maria Luna,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/mlunaceobravopay/
BRâÃ­âÂµVO Pay,1cba4133-cfd0-1d53-77b4-21cb49a28bf3,Maria Luna,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/mlunaceobravopay/
Bimpies,87d11767-294f-4759-bbd0-7ecb63509996,John Chang,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/changjohn/
blu eCigs,2eb730e3-f4c7-ab3f-9f0f-d6aa2125047d,Jason Healy,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/pub/jason-healy/1/690/a8a/en
"Blue Moon Digital, Inc.",8c980274-288d-23c0-237b-bb6741457491,Cindy Brown,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/cindybrownbluemoondigital/
Coastal Ridge Real Estate,4b33d3f7-bcfe-4393-96a7-474ec57e3e6c,Andrew Lallathin,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/andrew-lallathin-b639163/
Code Ninja,768a3dd5-bf02-ea7f-43d8-81ecdcc3d419,David Rice,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/derice
Defy Ventures,31011f80-8ab9-19bf-2d62-dd2e446a2a08,Catherine Hoke,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/pub/catherine-hoke-rohr/33/357/29a
Delivering Happiness,e318877e-383a-0ade-41cb-b284168beb5d,Jenn Lim,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/jennlim
Dojo,e0ce61ed-6d1f-738e-d9e8-2b8b8f00a222,Kelly Kampen,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/in/kkampen
Evelar Solar,fdf3cb97-b245-4e02-8d3a-ab845c91440c,Spencer Angerbauer,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/spencerangerbauer/
Caktus,8445c917-e76d-48ab-4f9e-3a903ea440dc,Panu Keski-Pukkila,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/pub/panukeskipukkila
GreenThumb,28d004df-7fed-9c03-a167-14ab8e2cc941,Mohammed W. Alshootfa,INVALID URL,INVALID URL,INVALID URL,INVALID URL,http://www.linkedin.com/in/alshootfa
Growcentia,083f19a6-8bbe-fb4e-0a35-3eb68c46b674,Colin Bell,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/colin-bell-phd-38734313
Kissmetrics,c7a28547-3a5e-feb0-567f-ee7cba6bb948,khiladi poswal,INVALID URL,INVALID URL,INVALID URL,INVALID URL,https://www.linkedin.com/in/khiladi-gurjar-732aaa178
