Organization Name(Column A),uuid (Column B),Name from Column E,LinkedIn Name,Profile Image URL,Company Name,Company Location,Company URL,Position(Job Title),Period 1,Period 2,Education,Period 1 Edu,Period 2 Edu,Degree,Linkedin Link
Aereo,4f5883be-b37c-692e-1bc2-34eb257cf33a,Chaitanya Kanojia,Chaitanya  Kanojia,https://media.licdn.com/dms/image/C4D03AQFOisOoaOFlVA/profile-displayphoto-shrink_200_200/0/1516305698121?e=1685577600&v=beta&t=STbRSEROINV8aEPJSWeg24Aq-DNnMRbfoADzrs5zGr8,"Starry, Inc.",,https://www.linkedin.com/company/10435968/,Co Founder,Jan 2015 To Present,8 yrs,Northeastern University,1991 To 1993,2 yrs,MS,https://www.linkedin.com/in/chaitanya-kanojia-614a283
Aereo,4f5883be-b37c-692e-1bc2-34eb257cf33a,Chaitanya Kanojia,Chaitanya  Kanojia,https://media.licdn.com/dms/image/C4D03AQFOisOoaOFlVA/profile-displayphoto-shrink_200_200/0/1516305698121?e=1685577600&v=beta&t=STbRSEROINV8aEPJSWeg24Aq-DNnMRbfoADzrs5zGr8,"Aereo, Inc",,https://www.linkedin.com/company/2486033/,CEO,Sep 2010 To Jun 2015,5 yrs,Maulana Azad National Institute of Technology,1989 To 1991,2 yrs,BE,https://www.linkedin.com/in/chaitanya-kanojia-614a283
Aereo,4f5883be-b37c-692e-1bc2-34eb257cf33a,Chaitanya Kanojia,Chaitanya  Kanojia,https://media.licdn.com/dms/image/C4D03AQFOisOoaOFlVA/profile-displayphoto-shrink_200_200/0/1516305698121?e=1685577600&v=beta&t=STbRSEROINV8aEPJSWeg24Aq-DNnMRbfoADzrs5zGr8,Navic Networks (a Microsoft company),,https://www.linkedin.com/company/20377/,CEO and General Manager,Jun 2008 To Sep 2010,2 yrs 4 mos,,,,,https://www.linkedin.com/in/chaitanya-kanojia-614a283
Aereo,4f5883be-b37c-692e-1bc2-34eb257cf33a,Chaitanya Kanojia,Chaitanya  Kanojia,https://media.licdn.com/dms/image/C4D03AQFOisOoaOFlVA/profile-displayphoto-shrink_200_200/0/1516305698121?e=1685577600&v=beta&t=STbRSEROINV8aEPJSWeg24Aq-DNnMRbfoADzrs5zGr8,Navic Networks (a Microsoft company),,https://www.linkedin.com/company/20377/,Founder & CEO,1999 - To 2008,9 yrs 9 mos,,,,,https://www.linkedin.com/in/chaitanya-kanojia-614a283
Aereo,4f5883be-b37c-692e-1bc2-34eb257cf33a,Chaitanya Kanojia,Chaitanya  Kanojia,https://media.licdn.com/dms/image/C4D03AQFOisOoaOFlVA/profile-displayphoto-shrink_200_200/0/1516305698121?e=1685577600&v=beta&t=STbRSEROINV8aEPJSWeg24Aq-DNnMRbfoADzrs5zGr8,Product Genesis,,https://www.linkedin.com/company/43100/,WB,Nov 1996 To Oct 1998,2 yrs,,,,,https://www.linkedin.com/in/chaitanya-kanojia-614a283
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,Siber Biotechnologies LLC,Remote,https://www.linkedin.com/search/results/all/?keywords=Siber+Biotechnologies+LLC,President,Mar 2013 To Present,10 yrs,Harvard Medical School,1973 To 1975,2 yrs,"Infectious Disease Fellowship, Vaccinology",https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,Johns Hopkins University,"Baltimore, Maryland Area",https://www.linkedin.com/company/3528/,Adjunct Professor of International Health,2008 To Present,15 yrs,Harvard Medical School,1972 To 1973,1 yrs,Senior Medical Resident,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,"Institute of Microbiology, Chinese Academy Sciences",,https://www.linkedin.com/search/results/all/?keywords=Institute+of+Microbiology%2C+Chinese+Academy+of+Sciences,Visiting Researcher,Feb 2022 To Present,1 yrs,Rush Medical College of Rush University Medical Center,1970 To 1972,2 yrs,Medical Intern and Resident,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,Clover Biopharmaceuticals,"Chengdu, Sichuan, China",https://www.linkedin.com/company/10843389/,Member of SAB,Jun 2020 To Present,3 yrs,McGill University,1966 To 1970,4 yrs,MD,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,康希诺生物股份公司 CanSino Biologics Inc.,"Tianjin, China",https://www.linkedin.com/company/32422386/,Member of SAB,Jul 2020 To Present,3 yrs,Bishop's University,1962 To 1966,4 yrs,"Bachelor of Science (B.Sc.), Major: Biology; Minor: Physics",https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,Valneva,"Vienna, Austria",https://www.linkedin.com/company/42467/,Member of SAB,Nov 2019 To Present,4 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,AdVaccine,"Shanghai City, China",https://www.linkedin.com/search/results/all/?keywords=AdVaccine,Member of SAB,May 2018 To Present,5 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,ILiAD Biotechnologies,USA,https://www.linkedin.com/search/results/all/?keywords=ILiAD+Biotechnologies,Member of SAB,Jan 2019 To Present,4 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,Vaxart,,https://www.linkedin.com/search/results/all/?keywords=Vaxart,Member of SAB,Nov 2020 To Present,3 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,Vaxxinity,"Hauppauge, New York, United States",https://www.linkedin.com/company/68277627/,Member of SAB,Jul 2020 To Present,3 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,Advisor Vaccine Strategy and Development BMGF,,https://www.linkedin.com/search/results/all/?keywords=Advisor+Vaccine+Strategy+and+Development+BMGF,Advisor,2014 To Present,9 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,Affinivax Inc.,"Cambridge, Massachusetts, United States",https://www.linkedin.com/company/15534440/,Co-Founder and Member of BOD,Jun 2014 To Aug 2022,8 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,Genocea Biosciences,"100 Acorn Park Drive, Cambridge MA 02140",https://www.linkedin.com/search/results/all/?keywords=Genocea+Biosciences,"Executive Director, Chairman of SAB",Apr 2007 To May 2022,15 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,CureVac,,https://www.linkedin.com/company/806783/,Member of SAB,2015 To 2021,6 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,Vaxess Technologies,,https://www.linkedin.com/company/2595564/,Member of SAB,2014 To 2021,7 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,International Vaccine Institute,"Seoul, Korea",https://www.linkedin.com/company/103252/,Member of Board of Trustees,Jan 2014 To Jan 2020,6 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,ClearPath Vaccines,Rockville MD,https://www.linkedin.com/search/results/all/?keywords=ClearPath+Vaccines,Chief Scientific Officer,Jan 2014 To Sep 2019,5 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,"PaxVax, Inc.",,https://www.linkedin.com/company/1004512/,Member of SAB,2014 To 2018,4 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,ADITEC Vaccine Consortium,"Siena, Italy",https://www.linkedin.com/search/results/all/?keywords=ADITEC+Vaccine+Consortium,Member of Scientific Advisory Committee,Jan 2012 To Dec 2016,4 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
Affinivax,1e9d4748-ecaa-be78-8686-7e39fb3485a3,George Siber,George  Siber,No Profile Image,The Wistar Institute,Greater Philadelphia Area,https://www.linkedin.com/company/23586/,Member of the Vaccine Center Advisory Board,Oct 2012 To Jul 2016,4 yrs,,,,,https://www.linkedin.com/in/george-siber-b194516
